AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM2.5
26,1.84,0.4,0.1,1.1,10.9,11.9,69,89,0,65,1.7,1.94,341,344,3.1,2.8,34
24.7,1.8,0.45,0.11,0.9,12.6,13.5,63,105,0,69,1.5,1.9,358,11,2.8,2.7,22
23.5,1.9,0.43,0.1,0.7,12,12.7,57.2,104,0,73,1.3,2,13,16,2.7,2.4,26
22.6,1.88,0.43,0.1,1,12.9,13.8,51,83,0,78,1.2,1.97,357,9,2.5,2.4,21
22.1,1.9,0.44,0.1,0.9,12.8,13.7,47,55,0,81,1.4,2,359,358,2.7,2.2,22
21.7,1.89,0.46,0.1,0.8,13.8,14.6,41,45,0,82,2.1,2,5,13,2.3,2,17
21.7,1.9,0.48,0.09,0.7,15.1,15.9,34,29,0,82,3.6,1.99,18,18,2.4,2.1,18
21.5,1.9,0.38,0.07,0.7,13.3,14,34.6,32,0,84,2.6,2,16,14,2.6,2.5,19
21.5,1.9,0.44,0.1,0.9,14.2,15.1,29.5,44,0,84,2.9,2,19,14,2.3,1.8,21
21.1,1.94,0.44,0.09,1.4,14.5,15.9,26,57,0,84,4.3,2.03,17,21,2.5,2.3,19
20.8,1.93,0.45,0.11,1.3,13.4,14.7,28,67,0,85,4.6,2.04,24,20,3,2.7,23
20.8,1.9,0.43,0.15,1.2,13.6,14.8,27.1,52,0,85,4.2,2.1,28,43,1.9,1.9,21
20.4,2,0.38,0.13,1.2,13.1,14.3,24.8,56,0,85,2.6,2.1,31,31,2.6,1.9,24
20.4,2.03,0.48,0.14,1.1,16.5,17.6,19,46,0,86,2.7,2.16,30,32,1.5,1.6,20
20.6,2.05,0.47,0.15,1.5,19.5,21,18,57,0,85,3,2.2,25,31,2.1,1.9,28
21.1,2.1,0.6,0.18,3.6,20.7,24.2,17.8,58,0,84,4.4,2.2,42,42,2.2,1.6,34
22.3,2.03,0.59,0.18,5,18.7,23.7,27,68,0,79,4.7,2.21,26,11,2.1,1.7,38
23.9,2.02,0.56,0.17,3.4,14.5,17.9,44,75,0,73,3.4,2.18,10,8,1.9,1.6,38
25.6,2,0.53,0.14,1.9,11.5,13.5,65.6,75,0,66,2.8,2.1,341,277,1.2,0.8,42
27.1,1.91,0.44,0.1,1.6,9,10.6,74,73,0,59,2.5,2.01,270,265,2.5,1.3,37
27.4,1.84,0.32,0.05,1.2,5.9,7.1,68,57,0,57,2.1,1.89,252,266,2.8,2.8,39
27.4,1.84,0.33,0.05,1.5,6,7.5,72,53,0,58,2.5,1.89,248,257,2.5,2.4,26
27.1,1.8,0.34,0.05,1.3,6.1,7.4,72.1,40,0,60,2.4,1.9,260,278,2.8,2.5,33
26.6,1.84,0.33,0.03,1.6,6.7,8.2,68,42,0,63,2.2,1.87,291,312,3.3,2.4,27
25.6,1.83,0.33,0.07,1.5,8.8,10.3,64,50,0,71,2.2,1.89,322,331,2.4,2.3,32
24.2,1.8,0.35,0.07,1.2,9.2,10.4,61.3,59,0,75,2.4,1.9,341,339,2.7,2.5,32
23.5,1.8,0.42,0.09,0.9,11.1,12,55.9,64,0,78,2.1,1.9,338,342,1.5,2,33
23.3,1.88,0.44,0.11,1.2,13.7,14.9,52,55,0,80,2.3,1.99,16,42,1.4,1.5,34
23.2,1.93,0.46,0.13,1.2,16.4,17.6,44,60,0,81,2.5,2.06,13,37,0.7,1,34
23.1,2,0.58,0.18,1.2,21.1,22.2,34,58,0,81,2.6,2.2,356,15,0.8,0.8,40
22.6,2.04,0.48,0.15,1.3,19.8,21.1,32,69,0,83,2.8,2.19,23,62,0.6,0.7,48
22.3,2.12,0.5,0.17,1.3,21.4,22.6,24,78,0,85,2.7,2.29,43,29,0.7,0.4,48
22,2.2,0.54,0.2,1.4,23.3,24.7,19,84,0,86,2.5,2.4,44,71,0.6,0.6,49
22,2.2,0.51,0.21,1,24.1,25.1,14.5,80,0,86,2.2,2.4,90,67,0.7,0.7,49
21.9,2.17,0.41,0.15,1,18,18.9,21,74,0,87,2.1,2.32,99,165,0.4,0.5,51
21.8,2.21,0.4,0.18,1,14.9,15.9,20,76,0,87,2.1,2.39,17,36,1,0.7,50
21.5,2.3,0.42,0.19,1,18.9,19.8,14.6,81,0,88,2.4,2.5,45,67,1.4,0.9,46
21.4,2.2,0.45,0.17,0.9,20.4,21.4,15.5,82,0,88,3.4,2.3,85,100,1,1,48
21.4,2.09,0.46,0.17,1.2,13.9,15.1,19,73,0,88,2.4,2.27,94,104,0.6,0.7,44
22.8,2.07,0.9,0.31,4.3,25.3,29.6,22,73,0,83,2.5,2.38,102,123,0.6,0.4,41
24.9,1.94,0.8,0.22,3.4,20,23.3,45,67,0,72,4,2.15,153,129,1.4,0.8,50
26.6,1.8,0.39,0.09,2.7,12.5,15.2,47.2,69,0,62,4.1,1.9,180,213,1.7,1,42
27.8,1.8,0.29,0.06,2.3,9.8,12.1,47.3,50,0,59,4.7,1.9,221,234,2.9,2.1,38
28.7,1.81,0.36,0.07,3,14.8,17.8,49,37,0,56,7.9,1.88,219,192,3.2,2.7,19
28.9,1.8,0.41,0.07,2.5,11.6,14.1,63,29,0,57,4.9,1.88,226,222,4.1,3.1,17
28.9,1.8,0.33,0.05,1.4,7.4,8.7,62.1,31,0,58,3.4,1.8,225,227,3.8,3.3,25
28.6,1.75,0.27,0.07,1,6.6,7.6,52,34,0,62,2.1,1.82,224,223,4.5,3.7,15
28,1.75,0.21,0.04,1.3,6.5,7.9,43,33,0,69,1.9,1.79,229,230,3.4,3.5,21
27.2,1.7,0.22,0.04,1.5,6.5,8,35.7,29,0,74,1.5,1.8,222,215,3.4,3.4,3
26.5,1.7,0.28,0.06,1.2,7.2,8.4,31.7,25,0,76,1.3,1.8,221,216,2,2.9,12
26.1,1.75,0.3,0.06,1.1,8.8,9.9,31,25,0,76,1.5,1.81,210,204,1.6,1.6,6
25.8,1.8,0.31,0.06,0.9,9.8,10.8,26.3,28,0,78,1.7,1.8,210,212,1.1,1.4,10
26.1,1.8,0.28,0.06,0.9,9.5,10.4,29.6,28,0,78,1.7,1.8,221,222,1.6,1.5,4
26,1.77,0.33,0.08,0.7,10.3,10.9,28,28,0,79,1.4,1.85,222,254,1.1,1.1,7
25.9,1.8,0.29,0.09,0.8,11.6,12.4,25,28,0,80,1.4,1.88,255,248,0.8,0.9,7
25.4,1.8,0.3,0.1,1,11.7,12.6,22.4,46,0,82,1.3,1.9,149,153,0.6,0.6,9
25,1.9,0.33,0.15,0.9,17.7,18.6,16,51,0,83,2.4,2.05,138,173,0.6,0.8,6
24.6,1.89,0.25,0.11,1,12.9,13.9,17,48,0,83,2,1.99,170,184,0.4,0.6,4
24.4,2,0.27,0.2,0.9,20.1,21,8.3,31,0,84,5,2.2,162,153,0.7,0.5,10
24.3,2,0.31,0.23,1.1,21.5,22.6,7.2,29,0,85,4.5,2.3,132,156,0.5,0.6,14
24.1,1.97,0.25,0.13,1.1,14.6,15.7,14,24,0,86,2.4,2.1,138,134,0.9,0.6,22
24,1.92,0.23,0.09,0.8,11.3,12.1,18,18,0,86,1.8,2.01,141,108,1,0.8,14
23.9,1.9,0.32,0.13,1.3,15.1,16.4,13.3,18,1,88,1.9,2.1,137,177,0.5,0.6,16
23.4,1.97,0.52,0.2,6.5,22.5,28.9,7,18,3.2,92,2.6,2.18,141,114,1.4,1.3,7
23.7,1.87,0.47,0.15,5.2,17.1,22.3,17,28,0,90,2.7,2.02,111,102,1.4,1.4,13
26.4,1.8,0.41,0.13,3.9,11.9,15.8,31.9,27,0,75,2.4,1.9,55,346,1.2,0.8,9
27.8,1.8,0.45,0.17,3.2,13.7,16.9,44.2,35,0,69,2.7,2,317,308,2.7,1.6,18
28,1.8,0.32,0.09,2.3,9.4,11.7,49.3,34,0,68,2.8,1.9,314,316,2.2,1.8,19
27.5,1.9,0.32,0.09,1.5,9,10.5,53,40,0,71,2.2,1.9,328,340,3.6,2.8,18
26.6,1.9,0.32,0.07,1.8,8.3,10.1,47,41,0,71,2.4,1.97,347,356,2.5,2.7,20
25.7,1.9,0.36,0.11,1.4,9.7,11.1,45.9,30,0,73,2.3,2,342,340,2.9,2.5,21
24.9,1.9,0.45,0.14,1.7,14,15.7,39.3,28,0,75,2.5,2,1,18,3.8,2.6,21
24.1,1.91,0.54,0.19,1.9,17.4,19.3,37,25,0,75,3.3,2.1,8,18,3.1,2.6,14
23.7,1.89,0.5,0.17,1.5,16.6,18.2,38,36,0,76,2.9,2.07,1,358,3.1,2.6,11
22.5,1.9,0.4,0.11,1,11.1,12,39.3,37,0,78,1.7,2,13,10,3,3,12
21.8,1.9,0.37,0.11,1.2,10.5,11.7,36,32,0,81,1.7,2,15,11,3.6,3,17
21.4,1.9,0.37,0.09,1,9.7,10.7,33,28,0,85,1.4,1.99,9,359,3,2.8,15
20.8,1.9,0.36,0.08,0.9,8.9,9.8,33.8,28,0,85,1.4,2,11,15,4,3.1,24
20.4,1.9,0.36,0.07,0.9,8,8.9,35.1,34,0,85,1.4,2,15,18,3,3.1,20
19.9,1.88,0.38,0.06,0.7,7.9,8.6,36,40,0,82,2,1.95,19,19,3,3.6,22
19.1,1.9,0.37,0.08,0.7,9.9,10.6,35,30,0,80,2.6,2,24,25,3.7,3.9,16
18.6,1.9,0.42,0.1,1.1,11.9,13,33.5,20,0,79,3.4,2,27,26,3.8,3.4,19
18.4,1.94,0.41,0.09,1.2,8.3,9.5,35,5,0,78,2.4,2.03,19,18,4,3.4,16
18,2,0.45,0.1,1.4,10,11.4,29.3,5,0,78,2.1,2.1,16,18,4.5,3.9,10
17.7,2,0.47,0.1,1.3,9.5,10.8,25.9,12,0,80,2.3,2.1,15,13,4.8,4.3,12
17.4,1.97,0.49,0.11,1.2,10.5,11.7,21,15,0,81,2.5,2.08,17,18,4.7,3.7,12
17.4,2,0.52,0.12,1.6,12.7,14.3,18.6,28,0,81,2.5,2.1,18,16,4.6,3.9,16
18.1,2,0.61,0.14,3.5,13.3,16.9,19.1,27,0,77,2.7,2.1,18,22,4,3.8,15
19.3,1.93,0.57,0.13,4.5,11.6,16.1,24,32,0,72,2.8,2.06,13,11,4.5,4,16
20.6,1.92,0.52,0.11,3.7,10.2,13.9,33,30,0,66,2.6,2.03,14,3,4,3.8,19
21.6,1.9,0.51,0.12,3.1,10.6,13.7,39.6,31,0,63,2.4,2,13,10,4.9,3.6,17
21.8,0,0,0,0,0,0,0,38,0,61,0,0,9,20,5,3.9,18
21.7,0,0,0,0,0,0,0,35,0,59,0,0,19,19,5.3,4.9,13
22.1,1.89,0.46,0.09,0.5,9.3,9.8,37,42,0,56,2.8,1.98,12,10,5,4.2,17
22.5,1.9,0.46,0.09,1.2,10.7,11.9,54.8,762,0,54,2.7,2,7,357,4.3,3.6,758
22.3,1.89,0.43,0.14,0.9,9.6,10.4,64,41,0,54,2.5,2.02,14,9,4.1,4.1,17
21.5,1.9,0.47,0.1,0.9,10.9,11.8,65,45,0,57,2.8,2,11,7,4.7,4.1,20
20.1,1.9,0.54,0.12,1.3,13.1,14.3,56.5,43,0,63,3,2,8,11,3.7,3.4,23
19,1.91,0.52,0.12,0.7,14.3,15,50,42,0,68,3,2.02,16,16,3.1,3.3,26
17.9,1.92,0.52,0.12,1,18.5,19.5,41,37,0,67,4.1,2.04,18,14,4.3,3.7,27
17.2,1.9,0.45,0.12,1,16.1,17.1,41.1,35,0,65,2.6,2,15,15,4.2,3.8,20
16.9,1.9,0.38,0.1,0.9,11.9,12.8,42.9,40,0,56,2.1,2,17,18,4.1,3.5,17
16.7,1.91,0.35,0.09,0.9,9.3,10.2,45,32,0,53,2,2,17,19,3.4,3.2,9
16.3,1.9,0.35,0.08,0.8,9.7,10.4,41.9,31,0,52,2.7,2,14,10,4,3.5,9
15.7,1.9,0.36,0.09,0.9,10.4,11.3,40.1,24,0,55,2.9,2,13,17,3.8,3.5,1
15,1.93,0.34,0.09,1.3,7.8,9.2,40,28,0,59,1.7,2.02,14,17,4.5,3.2,8
15,1.93,0.3,0.08,1.3,7.2,8.4,42,32,0,58,1.6,2.01,10,4,3.2,3.1,12
14.7,1.9,0.3,0.06,1.1,6.3,7.4,41.5,29,0,60,1.6,2,15,17,3.1,3,17
14.6,1.93,0.3,0.06,1.1,6.2,7.3,41,27,0,62,1.6,1.99,16,26,2.9,2.4,15
14.3,1.94,0.3,0.09,1.2,7,8.1,38,16,0,62,1.6,2.03,18,17,2.5,2.2,8
14.1,2,0.36,0.15,1.5,13.4,14.9,31.4,12,0,64,2,2.1,20,22,2.3,1.9,8
15,2,0.55,0.21,4.9,20.2,25.1,24,17,0,62,3,2.2,26,33,1.8,1.9,11
17,2.04,0.71,0.24,11.4,25.6,37,22,27,0,58,4.4,2.29,23,31,0.6,1,21
18.9,2.1,0.71,0.3,12.3,28.4,40.7,29.4,43,0,54,4.6,2.4,17,318,0.6,0.2,34
21.1,2.1,0.68,0.29,8.4,27.8,36.2,42.2,62,0,49,3.9,2.4,274,269,1,0.3,34
22.5,1.97,0.44,0.17,4.6,15.2,19.8,64,62,0,46,2.5,2.14,284,266,2.1,1.5,28
23.3,0,0.31,17.97,1.4,5.5,6.9,64,36,0,45,1.7,19.9,262,247,2,1.8,19
23.7,1.8,0.27,0.05,1.6,4.9,6.6,64.6,36,0,47,1.5,1.9,236,250,2.6,2,21
23.8,1.83,0.29,0.07,0.3,2.4,4,67,36,0,48,2,1.9,239,222,1.6,1.8,16
24,1.83,0.29,0.06,1.8,6,7.8,67,38,0,47,1.8,1.89,229,251,2,1,19
23.5,1.9,0.34,0.11,1.8,9.9,11.8,72,44,0,49,2.4,2,287,323,2.5,1.1,12
22.1,1.89,0.47,0.14,1.8,15.4,17.2,69,51,0,57,2.5,2.03,339,11,2.9,2.2,15
20.6,1.9,0.45,0.13,1.5,13.7,15.2,65,80,0,59,2.1,2,10,13,2.6,2.4,21
19.6,1.9,0.44,0.15,1.6,16,17.6,56,88,0,62,1.9,2.1,18,11,2.7,2.1,23
19,1.93,0.43,0.16,1.4,19.3,20.7,49,86,0,65,2.4,2.1,27,32,2.3,2.3,23
18.7,1.97,0.53,0.18,1.5,24.2,25.7,39,65,0,66,3.3,2.15,15,15,2.4,1.9,19
18.2,2,0.57,0.21,1.4,26.7,28.1,32.8,63,0,66,4.4,2.2,30,32,2.4,1.9,32
18.2,2,0.6,0.22,1.8,28.6,30.4,29.2,70,0,67,4.1,2.3,41,57,2,1.8,42
18.2,2.01,0.53,0.2,1.7,21.8,23.4,36,78,0,67,4.1,2.21,67,69,1.6,1.5,40
18.1,2.02,0.41,0.17,0.7,13.6,14.3,39,67,0,71,2.5,2.19,82,109,0.4,0.9,35
18.1,2,0.36,0.13,0.9,11.2,12.1,39.1,60,0,72,2.1,2.2,76,69,0.4,0.4,25
18.1,2.01,0.34,0.11,0.7,9.7,10.5,40,47,0,74,1.9,2.12,61,28,0.4,0.4,26
17.1,2.2,0.46,0.31,0.9,24.2,25.1,18.9,51,0,78,2.7,2.5,29,35,1.5,1.1,30
16.6,2.4,0.57,0.28,1.3,33.7,35.1,6.8,61,0,79,3.2,2.7,26,42,0.5,1.2,41
17.1,2.44,0.67,0.32,5.7,37.2,42.8,8,68,0,78,4.4,2.77,58,53,0.4,0.4,51
18.6,2.2,0.81,0.32,8.4,30.9,39.3,20.2,74,0,72,5,2.5,64,84,0.5,0.5,51
20.7,2.06,0.83,0.34,7.1,30.1,37.2,37,76,0,62,5.5,2.4,36,58,0.9,0.7,47
22.2,1.94,0.57,0.21,3.7,19.1,22.8,58,73,0,58,4.5,2.15,80,104,0.5,0.5,34
23.5,1.9,0.52,0.15,2,15.2,17.2,75,77,0,53,3.9,2.1,307,349,2.1,0.6,17
24.5,1.9,0.42,0.1,1.4,10.1,11.5,86.3,48,0,49,3.6,2,298,292,2.6,1.8,21
25,1.9,0.42,0.08,0.9,9.2,10.1,86,45,0,49,3.8,1.98,298,345,2.7,2.3,36
25.5,1.9,0.4,0.08,1,9.1,10.1,85,61,0,45,2.7,1.98,327,316,3.5,2.7,33
25.7,1.9,0.42,0.11,1.1,11.8,12.9,91.7,69,0,43,2.9,2,309,319,3.2,2.6,34
25.5,1.9,0.36,0.08,1.2,10.6,11.8,85.4,69,0,45,2.6,2,317,318,3.6,2.9,32
25.2,1.88,0.42,0.11,1.3,14.2,15.5,75,82,0,48,2.6,2,324,333,3,2.3,28
25,1.88,0.52,0.16,1.1,15,16.1,63,95,0,39,2.2,2.04,11,17,2.3,2,31
23.5,1.91,0.55,0.17,1,16.7,17.7,55,110,0,43,2.1,2.08,6,358,1.7,1.9,26
22.3,2,0.56,0.2,1.1,18.4,19.5,48.9,111,0,49,2.2,2.2,16,23,2.1,1.6,30
21.3,1.98,0.49,0.17,0.7,16.1,16.8,48,98,0,53,2.5,2.15,20,22,1.9,1.9,30
20.6,1.98,0.53,0.18,0.8,17,17.8,41,92,0,55,3,2.15,22,22,1.5,1.9,39
20.3,2,0.58,0.2,0.7,23,23.6,32.7,92,0,54,3,2.2,26,33,0.6,1,37
19.9,2.1,0.62,0.25,1,28.6,29.7,22.6,96,0,56,3,2.3,50,57,0.4,0.2,38
19.5,2.17,0.66,0.31,1.3,31.5,32.8,14,95,0,59,3.1,2.48,111,87,0.4,0.3,44
19,2.25,0.88,0.43,3,43.8,46.8,4,99,0,62,3.3,2.67,161,136,0.4,0.4,42
18.8,2.1,0.61,0.26,2,30.7,32.6,21.6,90,0,64,4,2.4,127,108,0.4,0.4,41
18.7,2.1,0.47,0.18,1,18.8,19.8,37.5,82,0,66,3.8,2.3,121,142,0.4,0.4,39
18.7,2.08,0.47,0.21,1,18.3,19.2,42,77,0,69,3.2,2.29,155,164,0.4,0.4,41
18.1,2.09,0.45,0.17,1.4,16.8,18.2,40,70,0,71,2.7,2.26,157,132,0.5,0.4,37
18.4,2,0.46,0.15,1.3,14.6,15.8,41.4,61,0,67,2.3,2.2,139,139,0.4,0.4,28
19.7,2.1,0.63,0.22,2.6,22.8,25.3,38.9,51,0,64,2.7,2.3,75,71,0.5,0.5,35
21.7,1.97,0.64,0.19,4.1,20.3,24.4,47,57,0,54,2.7,2.16,70,63,0.4,0.4,37
23.7,1.9,0.47,0.13,2.7,13.4,16.1,65.2,63,0,47,3.4,2,247,278,0.9,0.3,36
25.1,1.88,0.35,0.08,1.6,10.1,11.7,75,72,0,45,3.3,1.96,262,269,2.4,1.8,30
25.6,1.86,0.32,0.06,1.2,7.5,8.7,81,71,0,41,2.8,1.91,263,297,1.4,1.5,28
26.3,1.9,0.37,0.07,1.3,8.8,10.1,90,77,0,41,3,1.9,278,301,3.2,2.4,29
26.5,1.9,0.38,0.08,1.2,10.1,11.3,97.4,75,0,43,3.3,2,276,281,3.8,2.9,25
26.4,1.91,0.38,0.09,1.1,10.7,11.8,98,76,0,42,2.9,2,306,332,3.6,2.6,23
26.2,1.9,0.36,0.08,1,11.2,12.2,94,71,0,38,2.5,1.98,310,281,3.3,2.1,19
25.9,1.89,0.37,0.1,1.3,12.8,14.1,95,72,0,36,2.4,1.99,334,343,2.1,1.5,22
24.7,1.9,0.47,0.11,1.1,15.5,16.6,93.8,74,0,45,3.1,2,341,9,2.2,1.8,30
23.2,1.87,0.48,0.11,1,16.3,17.2,72,70,0,57,2.7,1.98,351,1,1.9,2.1,34
22.3,1.88,0.41,0.1,0.8,15.2,16,64,63,0,62,2.9,1.99,26,39,2.3,2.1,34
21.6,1.94,0.43,0.11,1,16.5,17.5,60,58,0,65,2.6,2.05,22,13,2.3,2,30
21.1,2,0.47,0.12,1.2,17.4,18.5,59.2,64,0,68,2.4,2.1,17,19,1.9,1.6,37
20.7,2,0.45,0.11,1,14.4,15.4,63.1,67,0,70,2.3,2.1,17,26,0.5,1.2,38
20.4,1.99,0.47,0.13,1,15.1,16.1,58,66,0,72,2.8,2.12,32,47,0.4,0.3,48
20.1,2.04,0.51,0.19,1.1,17.7,18.8,47,74,0,74,3.6,2.23,113,181,0.4,0.3,47
19.7,2.2,0.62,0.26,2.1,29.6,31.7,22.5,74,0,76,2.8,2.4,180,175,0.4,0.4,45
19.8,2.16,0.58,0.23,2.1,26.6,28.7,25,72,0,74,2.8,2.4,167,170,0.4,0.4,43
19.7,2.04,0.4,0.13,1.9,11.8,13.7,49,64,0,66,2.8,2.17,138,173,0.4,0.5,36
19.4,2.06,0.45,0.12,1.9,13,14.9,44,69,0,68,3.2,2.18,178,198,0.4,0.4,40
19,2.1,0.43,0.13,1.9,14.5,16.4,45.7,77,0,66,2.4,2.2,186,194,0.4,0.4,33
18.9,2.1,0.5,0.16,2.4,20,22.4,38,80,0,65,2.3,2.26,176,185,0.4,0.4,39
20.7,2.02,0.56,0.18,2.8,16.6,19.4,48,80,0,57,2.4,2.19,167,158,0.4,0.3,34
22.9,1.9,0.47,0.12,2.8,13.7,16.5,58.1,75,0,49,3.2,2.1,180,188,0.5,0.3,38
23.9,1.9,0.43,0.13,2.9,14.6,17.5,61.8,73,0,53,5.1,2.1,284,325,0.5,0.3,35
25.1,1.89,0.35,0.08,2.2,8.8,11,76,69,0,51,4.5,1.97,274,246,2.6,1.3,39
25.9,1.9,0.31,0.05,1.9,6.7,8.7,80.5,59,0,48,3.8,1.9,247,251,2.3,2.3,32
26.1,1.85,0.3,0.05,2,7.3,9.3,84,53,0,49,3.9,1.9,271,288,2.6,2.3,33
26.2,1.9,0.31,0.05,2,7.9,9.9,85,54,0,51,3.5,1.9,290,285,2.2,2.1,23
26.4,1.9,0.3,0.05,2,7.6,9.6,79,61,0,50,2.9,1.9,290,294,2.4,1.8,26
26.1,1.84,0.29,0.05,2.1,7,9.1,73,69,0,51,2.1,1.89,287,283,2.8,2.3,23
25.4,1.86,0.35,0.06,2,9.6,11.6,75,74,0,60,2.2,1.92,328,320,1.9,2.1,33
24.4,1.9,0.38,0.07,2,10.6,12.6,70.5,80,0,62,2.1,1.9,336,342,3.4,2.6,32
23.4,1.9,0.43,0.09,1.8,11.5,13.3,67.3,79,0,66,2.1,2,345,337,2.5,2.5,39
22.8,1.87,0.42,0.09,2,11.8,13.8,66,74,0,68,1.8,1.96,356,9,1.9,2.2,33
22.4,1.9,0.43,0.09,1.9,13.2,15.1,63,69,0,70,1.8,1.99,32,41,1.8,1.7,32
21.8,1.93,0.42,0.09,1.9,15.6,17.5,58,73,0,72,2,2.01,33,27,1.5,1.8,27
21.5,1.95,0.45,0.1,1.7,17.6,19.4,55,72,0,73,2.4,2.05,35,48,0.9,0.9,27
21.3,1.9,0.38,0.08,1.8,14.8,16.6,58.9,78,0,74,2.6,2,31,13,0.4,0.6,30
21.1,1.98,0.42,0.1,1.9,13.1,15,58,82,0,75,2.6,2.08,96,143,0.4,0.3,36
20.8,2.12,0.58,0.19,0.8,24.9,25.6,32,83,0,77,3.1,2.31,154,147,0.4,0.4,39
20.4,2.08,0.44,0.15,0.5,18.6,19.1,37,87,0,78,3.5,2.23,145,183,0.4,0.4,46
20.2,2,0.35,0.11,0.7,13.6,14.2,42.4,70,0,77,2.5,2.2,164,140,0.4,0.4,38
20.1,2.03,0.32,0.13,0.8,12.6,13.3,42,78,0,75,2.2,2.16,107,101,0.4,0.4,38
20.1,2.16,0.4,0.19,0.7,15.4,16,30,72,0,75,2.5,2.34,84,108,0.4,0.3,37
20.2,2.2,0.55,0.26,1.5,23.3,24.7,25,79,0,76,2.5,2.46,90,71,0.4,0.3,40
21.2,2.1,0.82,0.27,4.5,30.9,35.4,28.1,76,0,73,2.7,2.4,126,152,0.4,0.3,36
22.7,1.98,0.79,0.21,3.9,23.5,27.4,54,74,0,67,3.6,2.19,22,28,0.7,0.1,28
24.3,1.9,0.44,0.11,1.7,13.1,14.8,73,72,0,59,3.6,2.01,286,241,1.6,0.7,30
25.5,1.85,0.3,0.05,0.9,7.4,8.4,78,72,0,51,3.1,1.9,252,254,2.9,1.5,32
26.3,1.86,0.3,0.07,0.8,7.6,8.4,79,74,0,48,3,1.92,260,273,3,2.3,34
26.6,1.9,0.33,0.06,0.9,8.3,9.2,83.4,74,0,50,3.5,1.9,311,276,3.2,2.2,32
27.1,1.85,0.3,0.06,0.8,7.9,8.7,83,65,0,45,3.3,1.91,297,312,2.4,2.2,26
27.4,1.86,0.29,0.06,0.9,8.4,9.3,79,58,0,38,2.7,1.92,302,313,2.7,2.4,22
26.9,1.9,0.34,0.07,1.1,10.9,12,73.7,60,0,49,2.8,1.9,323,332,3.3,2.8,25
25.7,1.9,0.38,0.09,1,10.8,11.8,67.1,68,0,61,2.4,1.9,337,353,3.4,2.9,26
24.2,1.86,0.44,0.1,0.9,11.2,12,64,79,0,69,2.4,1.96,349,354,3.4,2.9,38
23.3,1.88,0.46,0.13,0.6,14.3,14.9,56,74,0,72,2.7,2.01,9,21,2.6,2.3,33
22.8,1.9,0.44,0.13,0.3,15.8,16.3,52.5,75,0,69,2.5,2,21,21,2.4,2.5,38
22.3,1.93,0.44,0.15,0.7,16.6,17.3,47,69,0,72,2.7,2.08,23,25,2.7,2.1,36
21.7,1.96,0.47,0.14,0.9,19.1,20.1,37,80,0,78,3.5,2.1,18,14,2.9,2.1,47
21.1,1.97,0.45,0.13,0.9,18,19,32,79,0,81,3.6,2.1,19,17,1.9,1.8,46
20.8,2,0.42,0.13,0.8,17.7,18.5,28.4,79,0,82,3.2,2.1,24,39,2.5,1.9,47
20.8,2,0.43,0.14,0.9,16.1,17,28.2,74,0,81,3,2.2,37,49,1.8,1.5,49
20.8,2.05,0.47,0.18,1.1,22.2,23.3,23,76,0,81,2.9,2.23,38,52,1,1.1,52
20.7,2.06,0.53,0.2,1.1,21,22.1,23,81,0,81,3,2.26,28,25,0.9,1.2,57
20.5,2.1,0.46,0.24,1.2,20.1,21.2,21.6,87,0,81,3.1,2.3,28,27,1.4,1.2,54
20.4,2.09,0.44,0.21,1,16.4,17.3,28,87,0,80,3,2.29,27,36,0.8,1,56
20.4,2.17,0.59,0.27,1.2,27.7,28.9,16,87,0,80,3.4,2.45,24,22,1.3,1,56
20.6,2.1,0.63,0.25,1.9,26.3,28.2,22.2,85,0,77,3.6,2.3,39,71,0.8,0.7,59
21.6,2.1,0.8,0.33,7,32.2,39.2,22.3,79,0,73,4.9,2.4,26,19,1.8,1,54
22.9,1.98,0.64,0.23,4.7,22.4,27.1,39,77,0,67,5,2.21,19,18,2.3,1.7,49
24.5,1.97,0.48,0.18,2.9,14.8,17.7,57,80,0,62,4.2,2.15,19,32,2.1,1.6,44
25.8,1.9,0.42,0.12,2,11.7,13.7,69.1,84,0,58,3.3,2.1,350,348,3.7,2.2,49
27,1.9,0.39,0.1,1.4,9,10.4,77.4,82,0,54,2.3,2,0,20,3.6,2.7,52
27.8,1.9,0.36,0.08,1.3,7.4,8.7,79.2,75,0,50,2,2,4,357,3.5,2.9,52
27.9,1.9,0.35,0.07,1.2,8,9.2,73.8,73,0,55,1.8,1.9,350,348,3.8,3.1,48
27.5,1.87,0.35,0.08,1.3,8.3,9.7,71,78,0,59,1.8,1.95,341,322,3.7,3.5,47
27.2,1.9,0.37,0.09,1.5,8.3,9.8,68.5,77,0,59,1.8,2,333,336,3.6,3.2,40
25.9,1.9,0.41,0.1,1.4,9.5,10.9,71.2,80,0,67,2,2,333,337,3.5,3.6,39
24.8,1.88,0.5,0.14,1.3,12.4,13.7,66,78,0,71,1.9,2.01,344,354,3.2,2.6,37
23.9,1.9,0.49,0.12,0.9,12.2,13.1,56,98,0,71,1.4,2.02,10,17,2.5,2.2,39
23.1,1.9,0.47,0.12,1,14.9,15.9,49.7,99,0,74,1.9,2,17,10,2.5,2.2,42
